timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
542,63,81,1068,32
690,64,81,1068,32
837,65,81,1068,32
985,97,81,1067,32
1132,64,54,1067,32
1280,183,81,1067,32
1427,65,81,1067,32
1575,65,51,1068,31
1723,65,81,1061,32
1870,64,81,1067,32
2018,67,34,1067,34
2165,64,55,1068,32
2313,63,81,1067,31
2460,64,53,1067,32
2608,109,31,1068,32
2755,64,45,1067,32
2903,63,81,1067,32
3050,68,81,1067,32
3198,64,81,1067,32
3346,68,81,1068,32
3493,65,81,1067,32
3641,63,39,1067,31
3788,65,81,1213,32
3936,70,51,1067,31
4083,65,81,1068,31
4231,108,81,1067,31
4378,63,81,1067,31
4526,62,78,1068,31
4673,64,32,1067,31
4822,68,53,1067,31
4969,63,50,1066,32
5116,63,57,1067,31
5264,63,68,1068,31
5411,63,48,1068,31
5559,63,24,1067,31
5706,63,81,1068,31
5854,151,81,1068,31
6001,63,38,1067,31
6149,65,81,1067,31
6296,108,81,1067,31
6445,63,62,1067,31
6592,64,81,1068,31
6739,68,60,1067,31
6887,65,81,1067,31
7034,100,55,1067,31
7182,178,81,1067,32
7329,70,81,1068,31
7477,85,81,1067,31
7624,63,55,1067,31
7772,64,81,1068,31
7919,63,48,1067,31
8068,63,81,1068,31
8215,156,81,1067,31
8363,69,81,1067,31
8510,92,55,1068,31
8657,63,28,1068,31
8805,106,57,1068,31
8952,64,81,1067,31
9100,65,81,1068,31
9247,64,81,1067,31
9395,64,57,1068,31
9542,95,81,1068,31
9691,66,81,1067,31
9838,63,38,1061,31
9986,66,33,1068,31
10133,63,39,1067,31
10280,131,81,1067,31
10428,63,81,1068,31
10575,77,81,1067,31
10723,66,81,1068,31
10870,63,81,1067,31
11018,64,34,1067,31
11165,68,81,1068,31
11314,144,81,1067,31
11461,64,81,1061,31
11609,64,81,1213,31
11756,112,81,1213,33
11904,63,81,1067,31
12051,70,81,1068,31
12198,117,81,1068,31
12346,64,81,1067,31
12493,63,81,1068,31
12641,63,77,1068,31
12788,63,38,1068,31
12936,63,81,1067,31
13084,97,81,1067,31
13232,66,81,1061,31
13379,132,53,1067,31
13527,63,47,1068,31
13674,72,81,1067,31
13821,63,81,1067,31
13969,64,81,1067,31
14116,62,53,1067,31
14264,105,81,1067,31
14411,63,81,1068,31
14559,64,81,1067,31
14706,65,81,1068,31
14854,127,81,1067,31
15002,80,52,1067,31
15150,64,33,1061,31
15297,105,81,1067,31
15444,68,81,1067,31
15592,63,81,1067,31
15739,65,81,1067,31
15887,86,81,1067,31
16034,108,81,1068,31
16182,64,81,1068,31
16329,63,35,1067,31
16477,65,32,1067,31
16624,64,81,1067,31
16773,67,50,1067,31
16920,154,81,1067,31
17068,63,81,1061,31
17215,62,81,1068,31
17362,63,81,1068,31
17510,162,81,1067,31
17657,120,81,1067,31
17805,94,81,1068,31
17952,65,81,1067,31
18100,63,81,1067,31
18247,72,81,1068,31
18395,168,51,1067,31
18542,108,81,1067,31
18691,98,81,1067,31
18838,72,81,1061,31
18985,62,81,1067,31
19133,63,81,1067,31
19280,63,81,1068,31
19428,65,59,1068,31
19575,66,33,1067,31
19723,65,35,1067,31
19870,67,81,1067,31
20018,104,55,1068,31
20165,105,75,1067,31
20313,62,81,1067,31
20461,62,81,1067,31
20609,64,81,1067,31
20756,63,81,1067,31
20903,94,81,1067,31
21051,63,40,1067,31
21198,65,81,1067,31
21346,65,81,1067,31
21493,64,81,1067,31
21641,106,81,1067,31
21788,106,81,1068,31
21936,107,81,1067,31
22083,169,81,1068,31
22232,96,81,1068,31
22379,62,81,1067,31
22526,63,81,1068,31
22674,65,81,1067,31
22821,114,60,1068,31
22969,63,81,1067,31
23116,101,81,1068,31
23264,63,55,1067,31
23411,211,81,1067,31
23559,64,81,1067,31
23706,98,81,1067,31
23854,63,81,1067,31
24002,63,81,1068,31
24150,64,60,1067,31
24297,64,81,1068,31
24444,63,81,1067,31
24592,64,81,1068,31
24739,147,38,1067,31
24887,167,81,1067,31
25034,62,81,1067,31
25182,63,81,1068,31
25329,70,81,1067,31
25477,63,81,1067,31
25625,63,81,1067,31
25773,147,81,1067,31
25920,122,81,1067,31
26067,63,81,1068,31
26215,64,81,1067,31
26362,63,50,1068,31
26510,108,81,1067,31
26657,98,81,1067,31
26805,102,81,1068,31
26952,64,81,1068,31
27100,137,81,1067,31
27248,62,81,1068,31
27396,63,81,1061,31
27543,63,52,1067,31
27691,64,53,1067,31
27838,63,81,1067,31
27985,107,81,1067,31
28133,74,81,1213,33
28280,66,81,1067,31
28428,65,81,1067,33
28575,99,81,1068,31
28723,64,81,1068,31
28871,64,50,1067,31
29019,62,81,1061,31
29166,63,54,1068,31
29314,64,56,1067,31
29461,138,81,1068,30
29608,141,81,1068,31
29756,112,81,1067,31
29903,63,81,1068,31
30051,64,34,1067,31
30198,63,63,1067,31
30346,96,81,1067,31
30494,94,81,1068,31
