start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
512,3312,265.95,1884.4475000000002,43.41022345024269,1066.35,19.95
3460,6260,259.7,705.2099999999998,26.555790329041233,1065.65,20.05
6408,9209,267.1,1530.0900000000004,39.11636486178132,1066.5,20.25
9357,12157,255.7,418.40999999999997,20.45507272047694,1065.9,19.6
12305,15106,259.9,730.0899999999999,27.020177645604033,1065.95,19.7
15253,18055,255.9,508.49000000000007,22.549722836434157,1066.55,19.5
18202,21004,265.3,804.7099999999999,28.367410879387634,1065.9,19.5
21151,23952,254.95,422.5475,20.555960206227294,1066.35,19.9
24099,26900,260.2,727.1600000000001,26.965904397961513,1066.1,20.25
27047,29849,260.75,676.9875,26.018983454393446,1066.3,19.7
